format_value,canal_std,canal_type,mapping_status,notes
CH-CEDIS,CEDIS,CEDIS,CONFIRMED,Chedraui distribution center
CH-DARK STORE,ECOMMERCE,DARK_STORE,CONFIRMED,Chedraui dark store for delivery
CH-ECOMMERCE,ECOMMERCE,ECOMMERCE,CONFIRMED,Chedraui online channel
CH-SELECTO,AUTOSERVICIO,SUPERMARKET_PREMIUM,CONFIRMED,Chedraui premium format
CH-SUPERCHE,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Chedraui standard supermarket
CH-SUPERCITO,PROXIMIDAD,SUPERMARKET_EXPRESS,CONFIRMED,Chedraui express small format
CH-TIENDAS,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Chedraui standard stores
CITY CLUB,MAYOREO,WHOLESALE,CONFIRMED,Soriana City Club membership wholesale
CL-ALAMODA,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Chedraui regional format
CL-CEDIS,CEDIS,CEDIS,CONFIRMED,Chedraui distribution center
CL-ECOMMERCE,ECOMMERCE,ECOMMERCE,CONFIRMED,Chedraui ecommerce
CL-EXPRESS,PROXIMIDAD,SUPERMARKET_EXPRESS,CONFIRMED,Chedraui express format
CL-FIESTA,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Chedraui Fiesta format
CL-FRESH,AUTOSERVICIO,SUPERMARKET_PREMIUM,CONFIRMED,Chedraui fresh premium
CL-SUPER,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Chedraui standard
CM-AL PRECIO,AUTOSERVICIO,DISCOUNT,CONFIRMED,Comercial Mexicana discount format
CM-BODEGA,AUTOSERVICIO,DISCOUNT,CONFIRMED,Comercial Mexicana bodega discount
CM-CEDIS,CEDIS,CEDIS,CONFIRMED,Comercial Mexicana distribution center
CM-COMERCIAL MEXICANA,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Comercial Mexicana standard
CM-MEGA,AUTOSERVICIO,HYPERMARKET,CONFIRMED,Mega Comercial hypermarket
CORNERSHOP,ECOMMERCE,ECOMMERCE,CONFIRMED,Uber Cornershop on-demand delivery
COSTCO,MAYOREO,WHOLESALE,CONFIRMED,Costco membership warehouse
COSTCO-ECOMMERCE,ECOMMERCE,ECOMMERCE,CONFIRMED,Costco online channel
CX-ECOMMERCE,ECOMMERCE,ECOMMERCE,CONFIRMED,Chedraui ecommerce channel
FU-AL SUPER STORE,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Futurama Al Super Store
FU-ALSUPER,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Futurama AlSuper standard
FU-ALSUPER DIFERENCIADO,AUTOSERVICIO,SUPERMARKET_PREMIUM,CONFIRMED,Futurama premium format
FU-ALSUPER EXPRESS,PROXIMIDAD,SUPERMARKET_EXPRESS,CONFIRMED,Futurama express small format
FU-ALSUPER STORE PLUS,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Futurama larger format
FU-CEDIS,CEDIS,CEDIS,CONFIRMED,Futurama distribution center
FU-ECOMMERCE,ECOMMERCE,ECOMMERCE,CONFIRMED,Futurama online channel
FU-FRESH MARKET,AUTOSERVICIO,SUPERMARKET_PREMIUM,CONFIRMED,Futurama fresh premium
FU-MAYOREOS,MAYOREO,WHOLESALE,CONFIRMED,Futurama wholesale format
HEB,AUTOSERVICIO,SUPERMARKET,CONFIRMED,HEB standard supermarket
HEB-CEDIS,CEDIS,CEDIS,CONFIRMED,HEB distribution center
HEB-ECOMMERCE,ECOMMERCE,ECOMMERCE,CONFIRMED,HEB online channel
HEB-MI TIENDA,PROXIMIDAD,SUPERMARKET_EXPRESS,CONFIRMED,HEB small proximity format
JUSTO,ECOMMERCE,ECOMMERCE,CONFIRMED,Justo online grocery
JUSTO-ECOMMERCE,ECOMMERCE,ECOMMERCE,CONFIRMED,Justo online channel
OXXO,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,OXXO convenience chain
PURE PLAYER,ECOMMERCE,ECOMMERCE,CONFIRMED,Pure ecommerce / digital-only
RAPPI,ECOMMERCE,ECOMMERCE,CONFIRMED,Rappi on-demand delivery
SAMS CLUB,MAYOREO,WHOLESALE,CONFIRMED,Sam's Club membership wholesale
SAMS-CEDIS,CEDIS,CEDIS,CONFIRMED,Sam's Club distribution center
SAMS-ECOMMERCE,ECOMMERCE,ECOMMERCE,CONFIRMED,Sam's Club online channel
SO-CEDIS,CEDIS,CEDIS,CONFIRMED,Soriana distribution center
SO-CITY CLUB,MAYOREO,WHOLESALE,CONFIRMED,Soriana City Club wholesale
SO-ECOMMERCE,ECOMMERCE,ECOMMERCE,CONFIRMED,Soriana online channel
SO-EXPRESS,PROXIMIDAD,SUPERMARKET_EXPRESS,CONFIRMED,Soriana Express small format
SO-HIPERMERCADOS,AUTOSERVICIO,HYPERMARKET,CONFIRMED,Soriana Hipermercados large format
SO-MEGA,AUTOSERVICIO,HYPERMARKET,CONFIRMED,Soriana Mega hypermarket
SO-MERCADOS,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Soriana Mercados standard
SO-SUPER,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Soriana Super standard
SO-SUPER CITY,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Soriana Super City format
TOTAL SORIANA,AUTOSERVICIO,SUPERMARKET,CONFIRMED,All Soriana formats aggregate
WM-BOD AURRERA EXPRESS,PROXIMIDAD,DISCOUNT_EXPRESS,CONFIRMED,Walmart Bodega Aurrera Express small
WM-BODEGA AURRERA,AUTOSERVICIO,DISCOUNT,CONFIRMED,Walmart Bodega Aurrera discount
WM-CEDIS,CEDIS,CEDIS,CONFIRMED,Walmart distribution center
WM-ECOMMERCE,ECOMMERCE,ECOMMERCE,CONFIRMED,Walmart online channel
WM-MEDIMART,AUTOSERVICIO,PHARMACY_RETAIL,CONFIRMED,Walmart Medimart pharmacy format
WM-MI BODEGA AURRERA,PROXIMIDAD,DISCOUNT_EXPRESS,CONFIRMED,Walmart Mi Bodega small format
WM-SUPER CENTER,AUTOSERVICIO,HYPERMARKET,CONFIRMED,Walmart Supercenter hypermarket
WM-SUPERAMA,AUTOSERVICIO,SUPERMARKET_PREMIUM,CONFIRMED,Walmart Superama premium
ZORRO,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Zorro regional supermarket
