raw_name,raw_name_normalized,source_system,marca_std,brand_group,mapping_status,mapping_confidence,is_active,effective_from,effective_to,notes
DAN'UP,DAN'UP,SELL_IN,DANUP,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias with apostrophe
DANUP,DANUP,EDP_NIELSEN,DANUP,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed
DANY,DANY,SELL_IN,DANY,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
DANY DANETTE,DANY DANETTE,SELL_IN,DANY,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
DANY,DANY,EDP_NIELSEN,DANY,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
DELIGHT,DELIGHT,SELL_IN,DELIGHT,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
EVIAN,EVIAN,SELL_IN,EVIAN,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
EVIAN,EVIAN,IBP,EVIAN,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in IBP dict
HERSHEYS,HERSHEYS,SELL_IN,HERSHEYS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
HERSHEY'S,HERSHEY'S,SELL_IN,HERSHEYS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias with apostrophe
DANONE HERSHEYS,DANONE HERSHEYS,SELL_IN,HERSHEYS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
HERSHEYS,HERSHEYS,EDP_NIELSEN,HERSHEYS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
INFINIT WATER,INFINIT WATER,SELL_IN,INFINIT,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
INFINIT,INFINIT,SELL_IN,INFINIT,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
INFINITY,INFINITY,SELL_IN,INFINIT,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
WATER INFINIT,WATER INFINIT,SELL_IN,INFINIT,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
JUIZZY,JUIZZY,SELL_IN,JUIZZY,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
LEVITE,LEVITE,SELL_IN,LEVITE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
BONAFONT_LEVITE,BONAFONT_LEVITE,SELL_IN,LEVITE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
BONAFONT LEVITE,BONAFONT LEVITE,SELL_IN,LEVITE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
LICUAMIX,LICUAMIX,SELL_IN,LICUAMIX,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
LICUAMIX,LICUAMIX,EDP_NIELSEN,LICUAMIX,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
OCEAN SPRAY,OCEAN SPRAY,SELL_IN,OCEAN SPRAY,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
OCEAN,OCEAN,SELL_IN,OCEAN SPRAY,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
OCEAN SPRAY,OCEAN SPRAY,IBP,OCEAN SPRAY,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in IBP dict
OIKOS,OIKOS,SELL_IN,OIKOS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
OIKOS UHT,OIKOS UHT,SELL_IN,OIKOS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
OIKOS,OIKOS,EDP_NIELSEN,OIKOS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
PUREZA AGA,PUREZA AGA,SELL_IN,PUREZA AGA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
AGA,AGA,SELL_IN,PUREZA AGA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
AGA 20 LTS,AGA 20 LTS,SELL_IN,PUREZA AGA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
AQUAPURA,AQUAPURA,SELL_IN,PUREZA AGA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
AGUA NATURAL,AGUA NATURAL,SELL_IN,PUREZA AGA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias — context-dependent; verify with business
SILK,SILK,SELL_IN,SILK,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
SILK ORIG 946ML,SILK ORIG 946ML,SELL_IN,SILK,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
SILKCHOCO190ML,SILKCHOCO190ML,SELL_IN,SILK,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
SILK,SILK,EDP_NIELSEN,SILK,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
SO DELICIOUS,SO DELICIOUS,SELL_IN,SO DELICIOUS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
SO DELICIOUS,SO DELICIOUS,EDP_NIELSEN,SO DELICIOUS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
STOK COLD BREW,STOK COLD BREW,SELL_IN,STOK,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
STOK,STOK,SELL_IN,STOK,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
VITALINEA,VITALINEA,SELL_IN,VITALINEA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
VITALINEA,VITALINEA,EDP_NIELSEN,VITALINEA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
YOPRO,YOPRO,SELL_IN,YOPRO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
YO PRO,YO PRO,SELL_IN,YOPRO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
YOPRO,YOPRO,EDP_NIELSEN,YOPRO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
COCA COLA,COCA COLA,SELL_IN,COCA COLA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
COCA-COLA,COCA-COLA,SELL_IN,COCA COLA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
COCACOLA,COCACOLA,SELL_IN,COCA COLA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
THE COCA COLA EXPORT,THE COCA COLA EXPORT,SELL_IN,COCA COLA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
COCA COLA FEMSA,COCA COLA FEMSA,SELL_IN,COCA COLA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
PEPSI,PEPSI,SELL_IN,PEPSI,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
PEPSI COLA MEXICANA,PEPSI COLA MEXICANA,SELL_IN,PEPSI,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
PEPSICOLA MEXICANA,PEPSICOLA MEXICANA,SELL_IN,PEPSI,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
LALA,LALA,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
GPO INDUSTRIAL LALA,GPO INDUSTRIAL LALA,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
LALA_BIO4,LALA_BIO4,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_CHIQUITIN,LALA_CHIQUITIN,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_CREMA,LALA_CREMA,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_GRIEGO,LALA_GRIEGO,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_LECHE,LALA_LECHE,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_LECHE_100,LALA_LECHE_100,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_MAESTROS,LALA_MAESTROS,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_NATURALES,LALA_NATURALES,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_PLENIA,LALA_PLENIA,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_PROBIOC,LALA_PROBIOC,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_QUESOS,LALA_QUESOS,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_YOGURT,LALA_YOGURT,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_YOGURT_100,LALA_YOGURT_100,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA_YOMI,LALA_YOMI,SELL_IN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
LALA,LALA,EDP_NIELSEN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
GPO INDUSTRIAL LALA,GPO INDUSTRIAL LALA,EDP_NIELSEN,LALA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
ALPURA,ALPURA,SELL_IN,ALPURA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
ALPURA_GRIEGO,ALPURA_GRIEGO,SELL_IN,ALPURA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
ALPURA_LECHES,ALPURA_LECHES,SELL_IN,ALPURA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
ALPURA_TOYS,ALPURA_TOYS,SELL_IN,ALPURA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
ALPURA_YOGURT,ALPURA_YOGURT,SELL_IN,ALPURA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
ALPURA_YOGURT_COLAGENO,ALPURA_YOGURT_COLAGENO,SELL_IN,ALPURA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
ALPURA_YOGURT_DESLACTOSADO,ALPURA_YOGURT_DESLACTOSADO,SELL_IN,ALPURA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
YOPLAIT,YOPLAIT,SELL_IN,YOPLAIT,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
YOPLAIT_DOBLECERO,YOPLAIT_DOBLECERO,SELL_IN,YOPLAIT,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
YOPLAIT_GRIEGO,YOPLAIT_GRIEGO,SELL_IN,YOPLAIT,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
YOPLAIT_GRIE_GO,YOPLAIT_GRIE_GO,SELL_IN,YOPLAIT,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line typo
YOPLAIT_KIDS,YOPLAIT_KIDS,SELL_IN,YOPLAIT,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
YOPLAIT_SKYR,YOPLAIT_SKYR,SELL_IN,YOPLAIT,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX,JUMEX,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
JUMEXITO,JUMEXITO,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_AMI,JUMEX_AMI,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_BIDA,JUMEX_BIDA,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_CERO,JUMEX_CERO,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_FRESCO,JUMEX_FRESCO,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_FRESH,JUMEX_FRESH,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_FRUTZZO,JUMEX_FRUTZZO,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_HYDROLIT,JUMEX_HYDROLIT,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_MIA,JUMEX_MIA,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_SPORT,JUMEX_SPORT,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_UNICO,JUMEX_UNICO,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_XODA,JUMEX_XODA,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUMEX_XOT,JUMEX_XOT,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
JUGOS DEL VALLE,JUGOS DEL VALLE,SELL_IN,JUMEX,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
SANTA CLARA,SANTA CLARA,SELL_IN,SANTA CLARA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
SANTA_CLARA,SANTA_CLARA,SELL_IN,SANTA CLARA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
SOC COOP TRAB PASCUA,SOC COOP TRAB PASCUA,SELL_IN,SANTA CLARA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias corporate name
SANTA CLARA,SANTA CLARA,EDP_NIELSEN,SANTA CLARA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
CIEL,CIEL,SELL_IN,CIEL,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
CIEL_EXPRIM,CIEL_EXPRIM,SELL_IN,CIEL,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
CIEL_MINERAL,CIEL_MINERAL,SELL_IN,CIEL,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias sub-line
PENAFIEL,PENAFIEL,SELL_IN,PENAFIEL,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
PEÑAFIEL,PEÑAFIEL,SELL_IN,PENAFIEL,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias with ñ
SEVEN UP,SEVEN UP,SELL_IN,SEVEN UP,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
SEVENUP,SEVENUP,SELL_IN,SEVEN UP,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
SEVEN UP CHI,SEVEN UP CHI,SELL_IN,SEVEN UP,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Alias variant
LONCHERA,LONCHERA,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
PALAS,PALAS,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
TABLAS,TABLAS,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
TAZAS,TAZAS,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
VASOS,VASOS,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
TOALLAS,TOALLAS,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
TUPPER,TUPPER,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
UTENSILIOS,UTENSILIOS,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
CERAMICA,CERAMICA,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
